번호,월차,지역,국가명,보고일,건수,발생일,발생 지역,구분,축종,사육,감염,폐사,살처분,도축,백신접종,"국내
190,7,유럽,이탈리아,2025/07/24,1,2025/07/18,"Orani, Orani, Nuoro, Sardegna",사육,소,8,3,1,7,0,0,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.24738,9.12763
191,7,유럽,이탈리아,2025/07/24,1,2025/07/18,"Orani, Orani, Nuoro, Sardegna",사육,소,92,16,3,89,0,0,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.25499,9.12552
192,7,유럽,이탈리아,2025/07/24,1,2025/07/18,"Orani, Orani, Nuoro, Sardegna",사육,소,87,4,2,2,0,0,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.25851,9.20678
193,7,유럽,이탈리아,2025/07/24,1,2025/07/18,"Orani, Orani, Nuoro, Sardegna",사육,소,92,16,3,13,0,0,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.28341,9.22293
194,7,유럽,이탈리아,2025/07/24,1,2025/07/18,"Orotelli, Orotelli, Nuoro, Sardegna",사육,소,48,2,0,0,0,0,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.306593,9.071998
195,7,유럽,이탈리아,2025/07/24,1,2025/07/21,"Orani, Orani, Nuoro, Sardegna",사육,소,52,1,0,1,0,0,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.30125,9.04641
196,7,유럽,이탈리아,2025/07/24,1,2025/07/21,"Orani, Orani, Nuoro, Sardegna",사육,소,70,11,5,6,0,0,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.3092,9.2079
197,7,유럽,프랑스,2025/07/24,1,2025/07/21,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,21,2,,21,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.78639,5.945
198,7,유럽,프랑스,2025/07/24,1,2025/07/22,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,1,1,,1,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.81849,5.906705
199,7,유럽,프랑스,2025/07/24,1,2025/07/22,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,7,1,,7,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.8557,5.98299
200,7,유럽,프랑스,2025/07/29,1,2025/07/20,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,18,1,,18,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.77312,5.90383
201,7,유럽,프랑스,2025/07/29,1,2025/07/22,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,28,1,,28,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.72769,6.26876
202,7,유럽,프랑스,2025/07/29,1,2025/07/22,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,2,1,,2,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.833328,5.93333
203,7,유럽,프랑스,2025/07/29,1,2025/07/23,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,9,1,,9,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.7855514,5.9450633
204,7,유럽,프랑스,2025/07/29,1,2025/07/23,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,3,1,,3,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.7855514,5.9450633
205,7,유럽,프랑스,2025/07/29,1,2025/07/23,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,10,1,,10,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.7855514,5.9450633
206,7,유럽,프랑스,2025/07/29,1,2025/07/23,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,8,1,,8,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.80304,5.90399
207,7,유럽,프랑스,2025/07/29,1,2025/07/23,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,3,2,,3,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.835855,5.886704
208,7,유럽,프랑스,2025/07/29,1,2025/07/24,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,3,1,,3,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.8310824,5.8913021
209,7,유럽,프랑스,2025/07/29,1,2025/07/25,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,13,2,,13,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.8295709,5.8809991
210,7,유럽,이탈리아,2025/07/30,1,2025/07/25,"Orani, Orani, Nuoro, Sardegna",사육,소,22,3,0,0,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.25888,9.2727
211,7,유럽,이탈리아,2025/07/30,1,2025/07/25,"Orani, Orani, Nuoro, Sardegna",사육,소,65,1,0,0,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.26065,9.27494
212,7,유럽,이탈리아,2025/07/30,1,2025/07/25,"Benetutti, Benetutti, Sassari, Sardegna",사육,소,8,1,0,8,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Sassari,40.397264,9.172869
213,7,유럽,프랑스,2025/07/30,1,2025/07/23,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,21,1,,21,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.81210492,5.924742128
214,7,유럽,프랑스,2025/07/30,1,2025/07/25,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,5,1,,5,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.74020467,6.305958214
215,7,유럽,프랑스,2025/07/30,1,2025/07/26,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,50,2,,50,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.74966268,6.31725895
216,7,유럽,프랑스,2025/07/30,1,2025/07/26,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,6,1,,6,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.78778,6.20302
217,8,유럽,프랑스,2025/08/01,1,2025/07/27,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,6,2,,6,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.77004639,6.251743623
218,8,유럽,프랑스,2025/08/01,1,2025/07/28,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,10,1,,,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.77240558,6.253055142
219,8,유럽,프랑스,2025/08/01,1,2025/07/29,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,70,2,,70,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.78578714,5.891339541
220,8,유럽,프랑스,2025/08/01,1,2025/07/29,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,8,2,,8,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.78600357,5.894707208
221,8,유럽,프랑스,2025/08/01,1,2025/07/29,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,2,1,,2,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.84573229,5.900009986
222,8,유럽,프랑스,2025/08/01,1,2025/07/30,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,7,1,,7,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.8024054,5.8952329
223,8,유럽,이탈리아,2025/08/05,1,2025/07/28,"Orotelli, Orotelli, Nuoro, Sardegna",사육,소,64,2,0,0,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.29275,9.116667
224,8,유럽,이탈리아,2025/08/05,1,2025/07/28,"Orotelli, Orotelli, Nuoro, Sardegna",사육,소,18,1,0,1,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.30794,9.07156
225,8,유럽,이탈리아,2025/08/05,1,2025/07/29,"Nuoro, Nuoro, Nuoro, Sardegna",사육,소,8,1,0,8,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.28273,9.26401
226,8,유럽,이탈리아,2025/08/05,1,2025/07/29,"Nuoro, Nuoro, Nuoro, Sardegna",사육,소,9,3,2,7,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.284756,9.303752
227,8,유럽,이탈리아,2025/08/05,1,2025/07/31,"Sarule, Sarule, Nuoro, Sardegna",사육,소,38,2,0,38,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.20129,9.18471
228,8,유럽,이탈리아,2025/08/05,1,2025/07/31,"Sarule, Sarule, Nuoro, Sardegna",사육,소,23,1,0,0,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.23263,9.15369
229,8,유럽,이탈리아,2025/08/05,1,2025/07/31,"Orotelli, Orotelli, Nuoro, Sardegna",사육,소,9,2,1,1,0,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.32509,9.133142
230,8,유럽,프랑스,2025/08/04,1,2025/07/26,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,3,1,,3,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.74882257,6.316325242
231,8,유럽,프랑스,2025/08/04,1,2025/07/29,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,65,2,,65,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.82837791,5.896239263
232,8,유럽,프랑스,2025/08/04,1,2025/07/31,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,6,2,,6,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.802483,5.8697321
233,8,유럽,프랑스,2025/08/04,1,2025/08/01,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,15,1,,,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.79958024,5.894266303
234,8,유럽,프랑스,2025/08/06,1,2025/07/30,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,10,1,,10,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.74716211,6.296467744
235,8,유럽,프랑스,2025/08/06,1,2025/07/30,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,6,3,,6,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.84329668,5.891533748
236,8,유럽,프랑스,2025/08/06,1,2025/07/31,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,67,1,,67,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.81431544,5.913948083
237,8,유럽,프랑스,2025/08/06,1,2025/08/01,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,2,2,,2,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.83212047,5.902087092
238,8,유럽,프랑스,2025/08/06,1,2025/08/02,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,41,1,,41,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.87510225,5.912438376
239,8,유럽,프랑스,2025/08/06,1,2025/08/03,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,12,1,,12,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.79897278,5.906319279
240,8,유럽,이탈리아,2025/08/08,1,2025/08/01,"Orani, Orani, Nuoro, Sardegna",사육,소,4,1,1,3,,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.27775,9.03683
241,8,유럽,이탈리아,2025/08/08,1,2025/08/04,"Burgos, Burgos, Sassari, Sardegna",사육,소,24,2,,2,,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Sassari,40.38841,9.00316
242,8,유럽,이탈리아,2025/08/08,1,2025/08/04,"Benetutti, Benetutti, Sassari, Sardegna",사육,소,54,1,,54,,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Sassari,40.400795,9.171361
243,8,유럽,이탈리아,2025/08/08,1,2025/08/05,"Oniferi, Oniferi, Nuoro, Sardegna",사육,소,45,5,3,,,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.30071,9.15876
244,8,유럽,이탈리아,2025/08/08,1,2025/08/05,"Orani, Orani, Nuoro, Sardegna",사육,소,1,1,,1,,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.315906,9.213706
245,8,유럽,프랑스,2025/08/11,1,2025/08/02,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,7,1,,7,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.8188709,5.900636992
246,8,유럽,프랑스,2025/08/11,1,2025/08/03,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,14,1,,14,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.72827995,6.266423365
247,8,유럽,프랑스,2025/08/11,1,2025/08/05,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,9,4,,9,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.841861,5.915771
248,8,유럽,프랑스,2025/08/11,1,2025/08/06,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,2,1,,2,,-,Y,,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.83306622,5.905890152
249,8,유럽,프랑스,2025/08/13,1,2025/08/05,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,9,1,,9,,-,Y,Y,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.704781,6.304378
250,8,유럽,프랑스,2025/08/13,1,2025/08/07,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,5,1,,5,,-,Y,Y,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.82634926,5.912668123
251,8,유럽,프랑스,2025/08/13,1,2025/08/09,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,3,1,,3,,-,Y,Y,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.84897774,5.900997813
252,8,유럽,이탈리아,2025/08/16,1,2025/08/11,"Cuglieri, Cuglieri, Oristano, Sardegna",사육,소,38,5,4,33,,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Oristano,40.1822,8.5336
253,8,유럽,프랑스,2025/08/18,1,2025/08/12,"Annecy, Annecy, Haute-Savoie, Auvergne-Rhône-Alpes",사육,소,15,1,,15,,-,Y,Y,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.7272203,6.261841
254,8,유럽,이탈리아,2025/08/19,1,2025/08/13,"Olzai, Olzai, Nuoro, Sardegna",사육,소,11,7,1,10,,-,Y,,,,,Y,,,,,,,,Y,Y,,Y,Y,,,,,,,Sardegna,Nuoro,40.174537,9.115053
255,8,유럽,프랑스,2025/08/22,1,2025/08/15,"Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes",사육,소,18,3,,18,,-,Y,Y,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Savoie,45.83245897,5.853166127
256,8,유럽,프랑스,2025/08/25,1,2025/08/21,"Belley, Belley, Ain, Auvergne-Rhône-Alpes",사육,소,85,1,,85,,-,Y,Y,,,,Y,,,,,Y,,,Y,,,Y,,,,,,,,Auvergne-Rhône-Alpes,Ain,45.88351127,5.764516912
257,8,아프리카,튀니지,2025/08/26,1,2025/01/05,"soukra, Soukra, Ariana",사육,소,13,2,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Ariana,Soukra,36.886348,10.215644
258,8,아프리카,튀니지,2025/08/26,1,2025/01/05,"Soukra, Soukra, Ariana",사육,소,13,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Ariana,Soukra,36.88645,10.215523
259,8,아프리카,튀니지,2025/08/26,1,2025/01/05,"Raoued, Raoued, Ariana",사육,소,2,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Ariana,Raoued,36.959761,10.199413
260,8,아프리카,튀니지,2025/08/26,1,2025/01/09,"El hkaima Est, Ksour Essef, Mahdia",사육,소,3,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Mahdia,Ksour Essef,35.468139,10.894417
261,8,아프리카,튀니지,2025/08/26,1,2025/01/13,"Ghayadha, Nefza, Béja",사육,소,8,2,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Béja,Nefza,36.94554,9.169453
262,8,아프리카,튀니지,2025/08/26,1,2025/02/03,"Essahla, Sidi Ali Ben Aoun, Sidi Bou Zid",사육,소,6,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sidi Bou Zid,Sidi Ali Ben Aoun,34.8355,9.115387
263,8,아프리카,튀니지,2025/08/26,1,2025/02/09,"Romdhania, Amdoun, Béja",사육,소,7,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Béja,Amdoun,36.763514,9.10253
264,8,아프리카,튀니지,2025/08/26,1,2025/02/22,"Zahret medyen, Amdoun, Béja",사육,소,12,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Béja,Amdoun,36.758452,9.08937
265,8,아프리카,튀니지,2025/08/26,1,2025/04/07,"el hajeb, Sfax Sud, Sfax",사육,소,111,1,1,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sfax,Sfax Sud,34.668948,10.627921
266,8,아프리카,튀니지,2025/08/26,1,2025/04/16,"Fahs, Fahs, Zaghouan",사육,소,6,2,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Zaghouan,Fahs,36.366716,9.909361
267,8,아프리카,튀니지,2025/08/26,1,2025/04/19,"Chaleb, Menzel Chaker, Sfax",사육,소,20,10,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sfax,Menzel Chaker,35.070484,10.390896
268,8,아프리카,튀니지,2025/08/26,1,2025/04/20,"Chebada, Fouchana, Ben Arous (Tunis Sud)",사육,소,7,4,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Ben Arous (Tunis Sud),Fouchana,36.698391,10.175506
269,8,아프리카,튀니지,2025/08/26,1,2025/04/20,"el melaha, Tebourba, Manubah",사육,소,11,4,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Manubah,Tebourba,36.839082,9.590315
270,8,아프리카,튀니지,2025/08/26,1,2025/04/21,"Chaleb, Menzel Chaker, Sfax",사육,소,19,2,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Sfax,Menzel Chaker,35.070484,10.390896
271,8,아프리카,튀니지,2025/08/26,1,2025/04/22,"Bach hamba, Utique, Bizerte",사육,소,11,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Bizerte,Utique,36.970556,9.960551
272,8,아프리카,튀니지,2025/08/26,1,2025/04/23,"Cap Negro, Nefza, Béja",사육,소,2,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Béja,Nefza,37.102084,8.98572
273,8,아프리카,튀니지,2025/08/26,1,2025/04/25,"Chela, Boumhel, Ben Arous (Tunis Sud)",사육,소,2,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Ben Arous (Tunis Sud),Boumhel,36.709483,10.300121
274,8,아프리카,튀니지,2025/08/26,1,2025/04/25,"elmajless, Amdoun, Béja",사육,소,17,2,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Béja,Amdoun,36.7733,9.076659
275,8,아프리카,튀니지,2025/08/26,1,2025/04/25,"El melaha, Tebourba, Manubah",사육,소,11,3,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Manubah,Tebourba,36.839884,9.590573
276,8,아프리카,튀니지,2025/08/26,1,2025/04/30,"El melaha, Tebourba, Manubah",사육,소,6,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Manubah,Tebourba,36.838949,9.593244
277,8,아프리카,튀니지,2025/08/26,1,2025/04/30,"Sidi othmen, Utique, Bizerte",사육,소,5,4,2,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Bizerte,Utique,36.96338,9.924941
278,8,아프리카,튀니지,2025/08/26,1,2025/05/01,"manouba, Manouba, Manubah",사육,소,2,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Manubah,Manouba,36.823939,10.064167
279,8,아프리카,튀니지,2025/08/26,1,2025/05/02,"Bach hamba, Utique, Bizerte",사육,소,14,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Bizerte,Utique,36.961697,9.956708
280,8,아프리카,튀니지,2025/08/26,1,2025/05/02,"Ain Ghlel, Utique, Bizerte",사육,소,3,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Bizerte,Utique,37.009019,9.864461
281,8,아프리카,튀니지,2025/08/26,1,2025/05/03,"Kalaat El Andalous Est, Kalaat El Andalous, Ariana",사육,소,11,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Ariana,Kalaat El Andalous,37.057898,10.133103
282,8,아프리카,튀니지,2025/08/26,1,2025/05/04,"Kaalat el andalous Est, Kalaat El Andalous, Ariana",사육,소,4,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Ariana,Kalaat El Andalous,37.059909,10.135721
283,8,아프리카,튀니지,2025/08/26,1,2025/05/12,"Borj el amri, Borj El Amri, Manubah",사육,소,5,1,0,0,0,-,Y,Y,,,,,,,,,,,,Y,,,Y,,,,,,,,Manubah,Borj El Amri,36.717311,9.864654
